label,category
human,People
Wikimedia page outside the main knowledge tree,Meta
region,Places
geolocatable entity,Places
section of populated place,Places
video and/or audio work,Creative works
classification in sports,Sport
work of art,Creative works
film,Creative works
release group,Creative works
sports organization,Sport
serial,Creative works
group of humans,People
taxon,Animals
fictional entity,Fiction
Cookie_(informatique),Technology
software,Technology
organisms known by a particular common name,Animals
type of sport,Sport
series of creative works,Creative works
mythical entity,Fiction
physical location,Places
duo,People
product model,Business & Products
substance,Science
company,Business & Products
class of disease,Science
vehicle family,Business & Products
astronomical body part,Science
political organization,Politics
public institution,Organisations
physiological condition,Science
spatial object,Places
role,People
computer program,Technology
machine,Business & Products
family,People
enterprise,Business & Products
technical standard,Technology
military organization,Organisations
disease,Science
brand,Business & Products
music organization,Art
virtual community,Media
broadcast network,Entertainment
animal type,Animals
linguistic unit,Languages and other symbolic systems
territorial entity type,Places
transport company,Business & Products
video game series,Entertainment
group or class of chemical entities,Science
model series,Business & Products
type of website,Meta
open-source software,Technology
thoroughfare,Places
architectural element,Places
domesticated animal,Animals
languoid,Languages and other symbolic systems
social group,People
republic,Places
blockchain,Technology
emblem,Symbols
logo,Symbols
food,Food
occupation,People
figure that may or may not be fictional,People
written work,Creative works
religious organization,Religion
criminal organization,Organisations
chemical classification,Science
symbol,Symbols
nonprofit organization,Organisations
code,Languages and other symbolic systems
belief system,Beliefs
notation,Languages and other symbolic systems
symbol (Class Pages),Languages and other symbolic systems
pitch,Sport
drink,Food
constitutional monarchy,Places
software component,Technology
terms of service (Class Pages),Meta
human sexual behavior,Science
religious text,Religion
art genre,Art
civil servant,People
armed organization,Organisations
Google,Business & Products
entrepreneur,Business & Products
game,Entertainment
food ingredient,Food
fiction,Creative works
water area,Places
visual artwork,Creative works
human population,People
nomenclature,Languages and other symbolic systems
Seven_deadly_sins,Religion
radio program,Entertainment
personal data,Science
planetary body,Science
professional sports league,Sport
food and beverage,Food
game mode,Entertainment
couple,People
phrase,Languages and other symbolic systems
position,Sport
user interface,Technology
Group of 7,Creative works
academic discipline,Science
"products of manufacturing industries by OKPD and CPA 2002 (D), OKPD2 AND CPA 2008 (C)",Food
e-service,Technology
Group of 6,Entertainment
cultural institution,Entertainment
sibling trio,People
formal language,Languages and other symbolic systems
Therapy speak,Science
polymorphism,Science
magazine,Entertainment
Wikipedia overview article,Meta
research institute,Organisations
astronomical object,Science
region of space,Places
person,People
tournament system,Sport
physical intimacy,Science
umbrella organization,Sport
streaming service,Entertainment
