category,label
Sporting Events,Sporting Events
Crimes,Crimes
Elections,Political Events
Armed Conflicts,Wars and Conflicts
Special Days,Cultural Events
Human-made Disasters and Accidents,Other
Disease Outbreaks,Other
Awards,Cultural Events
Historical Periods & Events,Other
Cultural Events,Cultural Events
Legal Cases,Other
Natural Disasters,Natural Disasters
Scandals and Curiosities,Other
Conflicts,Wars and Conflicts
Events overview,Other
Conspiracies,Other
Disappearances,Other
Political Events,Political Events
Natural Phenomena,Other
Deaths,Other
Religious Events,Cultural Events
Projects,Other
Legal Events,Other
Fictional Events,Other
Economic Events,Other
Organised Events,Other
Other,Other
