class_id,label,action,category,status,coverage_pages,coverage_views,coverage_pages_pct,coverage_views_pct
Q35120,entity,split,,done,,,,
Q136433660,entity,split,,done,,,,
Q67518978,occurrent,split,,done,,,,
Q7048977,abstract entity,split,,done,,,,
Q1190554,occurrence,split,,done,,,,
Q937228,property,split,,done,,,,
Q3249551,process,split,,done,,,,
Q30241068,observable entity,split,,done,,,,
Q483247,phenomenon,split,,done,,,,
Q1914636,activity,split,,done,,,,
Q4026292,action,split,,done,,,,
Q61788060,human activity,split,,done,,,,
Q451967,intentional human activity,split,,done,,,,
Q930933,relation,split,,done,,,,
Q52948,interaction,split,,done,,,,
Q111931734,effect,split,,done,,,,
Q52948,interaction,split,,done,,,,
Q488383,object,split,,done,,,,
Q1150070,change,split,,done,,,,
Q58415929,spatio-temporal entity,split,,done,,,,
Q2424752,product,split,,done,,,,
Q125506646,transfer,split,,done,,,,
Q2897903,goods and services,split,,done,,,,
Q103940464,continuant,split,,done,,,,
Q53617489,independent continuant,split,,done,,,,
Q8187769,economic activity,split,,done,,,,
Q602884,social phenomenon,split,,done,,,,
Q7406919,service,split,,done,,,,
Q1656682,event,split,,done,,,,
Q99527517,collective entity,split,,done,,,,
Q5127848,class,split,,done,,,,
Q16889133,class,split,,done,,,,
Q3505845,state,split,,done,,,,
Q813912,condition,split,,done,,,,
Q246672,mathematical object,split,,done,,,,
Q24229398,being,split,,done,,,,
Q106668099,corporate body,split,,done,,,,
Q131085629,collective agent,split,,done,,,,
Q106668099,corporate body,split,,done,,,,
Q18603648,contributing factor,split,,done,,,,
Q31464082,source entity,split,,done,,,,
Q217594,class,split,,done,,,,
Q748349,mathematical structure,split,,done,,,,
Q217594,class,split,,done,,,,
Q4833865,abstract structure,split,,done,,,,
Q748349,mathematical structure,split,,done,,,,
Q217594,class,split,,done,,,,
Q36161,set,split,,done,,,,
Q205464,algebraic structure,split,,done,,,,
Q36161,set,split,,done,,,,
Q864377,multiset,split,,done,,,,
Q36161,set,split,,done,,,,
Q134488202,possibly infinitary structure,split,,done,,,,
Q1851710,structure,split,,done,,,,
Q205464,algebraic structure,split,,done,,,,
Q36161,set,split,,done,,,,
Q853725,social relation,split,,done,,,,
Q1139327,rivalry,split,,done,,,,
Q476300,competition,split,,done,,,,
Q841654,competition,split,,done,,,,
Q26907166,temporal entity,split,,done,,,,
Q16686448,artificial object,split,,done,,,,
Q23807345,competition,split,,done,,,,
Q13406554,sports competition,assign,sports competition,done,10602,118881684,35.7,35.16
Q11028,information,split,,done,,,,
Q1184244,delict,split,,done,,,,
Q1456832,violation of law,assign,violation of law,done,13073,156671413,44.02,46.33
Q4184950,regularity,split,,done,,,,
Q2083958,pattern,split,,done,,,,
Q9332,behavior,split,,done,,,,
Q42848,data,split,,done,,,,
Q188572,fact,split,,done,,,,
Q1856757,legal fact,split,,done,,,,
Q1864008,legal act,split,,done,,,,
Q2990593,animal behavior,split,,done,,,,
Q921513,social behavior,split,,done,,,,
Q609298,social interaction,split,,done,,,,
Q839578,group dynamics,split,,done,,,,
Q180684,conflict,split,,done,,,,
Q189760,voting,assign,voting,done,15099,178315974,50.84,52.73
Q60971579,destructive behavior,split,,done,,,,
Q124490,violence,split,,done,,,,
Q115431196,violent conflict,split,,done,,,,
Q71266556,warfare and armed conflicts,split,,done,,,,
Q350604,armed conflict,assign,armed conflict,done,16016,194987065,53.93,57.66
Q2995644,result,split,,done,,,,
Q1121708,failure,split,,done,,,,
Q1689296,calamity,split,,done,,,,
Q151885,concept,split,,done,,,,
Q15275719,recurring event,split,,done,,,,
Q132907471,individual item,split,,done,,,,
Q4406616,concrete object,split,,done,,,,
Q223557,physical object,split,,done,,,,
Q8205328,artificial physical object,split,,done,,,,
Q1791627,cultural artifact,split,,done,,,,
Q618779,award,assign,award,done,16751,202715622,56.4,59.95
Q3622126,conceptual system,split,,done,,,,
Q105948247,knowledge system,split,,done,,,,
Q1047113,field of study,split,,done,,,,
Q3839081,disaster,split,,done,,,,
Q123349660,geolocatable entity,split,,done,,,,
Q123349687,geographically localized event,split,,done,,,,
Q115668308,release,split,,done,,,,
Q732577,publication,split,,done,,,,
Q3331189,"version, edition or translation",split,,done,,,,
Q878143,value,split,,done,,,,
Q868257,economic value,split,,done,,,,
Q678774,employee benefit,split,,done,,,,
Q7124679,paid time off,split,,done,,,,
Q1197685,public holiday,assign,public holiday,done,16873,208330607,56.81,61.61
Q1445650,holiday,assign,holiday,done,17197,213557965,57.9,63.16
Q3241045,disease outbreak,assign,disease outbreak,done,17270,218627897,58.15,64.66
Q2305441,social process,split,,done,,,,
Q7551318,social procedure,split,,done,,,,
Q31603,draft,assign,draft,done,17359,223588090,58.45,66.12
Q5067949,chain of events,split,,done,,,,
Q104637332,planned process,split,,done,,,,
