subject_id,object_id
3,203872
3,98925662
4,1190554
5,15978631
5,154954
5,164509
5,215627
19,896677
44,317088
44,134703426
44,6744639
58,4620674
58,168552
68,1172400
68,3181395
68,11019
68,241317
68,1662611
68,115517465
75,1068715
81,748611
81,20136
81,25403900
81,609336
81,11004
82,2858615
82,12820205
82,178648
86,1441305
86,81938
89,3314483
89,145150
89,41274
94,9135
105,819073
107,5196078
107,53617489
108,18602249
109,18602249
116,16744001
116,2304859
118,18602249
126,18602249
132,1445650
132,573
133,7449320
136,55386374
136,5768468
137,12221306
137,3389555
140,6667323
144,57814795
146,57814795
146,39201
146,25265
152,1756633
152,1230015
153,378871
153,11685431
154,40050
156,71574018
156,71419357
160,7377
161,10683158
162,5861
162,3191702
162,354724
165,116126228
165,2507626
165,116126039
171,131093
171,5155040
171,35127
177,749316
177,13030962
177,2251745
177,26996677
177,8195619
177,2095
177,1408229
178,25397894
178,7493597
178,746549
179,4120025
190,635155
190,215627
190,18563354
195,25403900
195,1365365
195,5159627
195,185583
195,752276
195,2596997
197,1949826
197,2875704
198,6428674
198,17091170
198,15835236
198,1190554
198,1920219
198,350604
210,11352
249,1061219
249,418
250,1348085
250,7708418
250,2858615
250,1921606
281,1479546
282,56351009
282,11258817
283,50690
283,11723014
284,2166541
284,146470
286,629103
286,5135573
287,28969364
287,18537
287,317088
287,1138571
287,40397
289,11033
289,8187769
289,15078788
290,4897819
291,17537576
291,115921406
305,186361
309,11862829
309,1190554
309,4330518
309,5067949
316,9415
316,1124198
316,5489108
317,10264652
317,173424
318,249389
333,14632398
333,336
333,475023
333,7991
336,221173
336,105606485
336,105948247
336,9081
336,9471
336,42240
338,333
341,5500964
341,56273712
341,1130645
344,11471
348,21550481
349,747883
358,2065736
358,15642541
358,210272
366,83267
366,896677
366,1975478
374,56139
375,477248
375,748611
375,116146103
376,11019
376,42622779
376,115923123
376,4198689
388,341
388,15545584
388,170584
388,241317
388,14656
394,14632398
395,7991
413,14632398
413,7991
418,1472062
420,7991
420,864928
421,116780996
421,18563147
430,729
430,10811
431,420
432,47280
441,420
446,186713
450,7048977
467,84048852
467,9584157
474,355304
474,373609
482,7725634
485,4346576
485,14001
491,223642
492,14819853
496,1383944
496,103907951
496,112826975
503,3314483
503,844144
503,13184
506,24060707
506,20011319
515,7930989
515,124250988
521,420
523,1146001
523,6999
523,1027098
527,107
532,10354598
542,11047409
542,212434
543,192581
543,1920219
543,6805989
553,66545296
556,19600
561,553
561,15221421
561,66568715
564,443814
570,1718024
570,3749263
570,267228
571,732577
571,2424752
571,49848
571,47461344
571,340169
573,2199864
575,1260524
577,2199864
577,37640
578,5760634
578,186081
589,1457669
589,368442
608,107289510
608,1190058
608,2431958
608,106803732
623,19753345
629,187689
629,104567
629,19600
634,400144
634,3132741
638,2018526
638,173799
639,1347355
639,1293220
646,834028
646,2041172
646,3743695
661,2551094
661,2245442
670,19596
674,19753345
676,7725634
677,12140
677,3333419
693,1221280
693,109588548
699,17991521
699,3306693
699,109588548
718,1188693
718,287618
718,2755547
725,186752
725,2512777
726,110878538
726,57814795
726,27742
728,39546
728,223557
729,7239
729,159344
735,17537576
738,3782694
738,2957687
748,53001749
748,1651597
756,7239
764,7239
780,1797813
780,178559
787,57814795
787,164509
787,1797813
808,39833
808,170065
825,190
830,4767951
830,57812611
830,57814795
847,877517
847,212434
847,2426135
852,40337994
856,188889
856,1048236
856,6723621
870,15618781
870,1414135
870,350783
870,4354683
870,58833993
872,418
893,2647467
897,585302
901,1650915
901,20826540
940,1976211
940,173235
944,41217
944,1144457
978,11028
1004,4502142
1004,7452501
1004,1318295
1004,111885808
1004,7725634
1052,494057
1057,2996394
1059,30336093
1059,188193
1063,3455898
1063,17524420
1063,5418608
1063,2996394
1069,7991
1069,8008
1071,336
1072,24060765
1073,75865
1073,112826975
1073,24060765
1074,3355930
1074,112826975
1074,629103
1074,24060765
1075,14506045
1075,1207505
1075,282250
1084,82799
1084,29888377
1107,11425
1107,2431196
1111,73792
1111,117865208
1111,107715
1111,181175
1269,2095
1269,1472481
1269,5159627
1269,74048276
1269,25403900
1311,24384
1315,14795564
1315,11483816
1315,751989
1344,207628
1344,123777276
1344,9730
1344,7777494
1360,43806
1364,148515
1364,24060707
1367,7380
1367,24249370
1368,7598359
1368,1659862
1368,1643989
1390,1360
1420,752870
1420,1515493
1420,12060681
1444,52954
1444,19603939
1487,650031
1487,82594
1487,243697
1501,117208189
1501,12004466
1501,1076486
1525,34442
1525,285783
1566,1913301
1566,211036
1566,317088
1566,134172
1576,44106
1578,44106
1661,7725634
1713,47461344
1713,121769
1772,121614747
1827,282
1845,846882
1860,1346342
1889,202875
1889,181648
1972,109645860
1972,109645909
1997,1366137
1997,1778613
2095,1194058
2095,214609
2095,118451828
2122,608
2130,138754
2139,109645860
2139,109645909
2152,109645860
2152,109645909
2199,1022867
2199,400144
2349,2122
2488,1371025
2490,2488
2493,6661985
2493,5034491
2537,3132741
2537,1297322
2539,11660
2736,877517
2743,123777276
2743,2431196
2743,25379
2743,43099500
2763,41397
2763,48136
2811,19623198
2835,1047213
2835,65037298
2845,3706669
2845,1902558
2845,25403900
2877,3997740
2877,5282065
2878,6520159
2878,5282065
2879,3750285
2879,10864048
2879,1048835
2879,1053463
2915,11748378
2934,1797813
2934,57814795
2977,16970
2979,1347367
3010,7569
3010,84048850
3039,2920963
3096,505748
3133,9128
3133,1075
3196,1293220
3196,133235
3465,193291
3465,6949149
3559,193275
3694,11755880
3721,3688092
3863,193275
3863,1022867
3887,141022
3887,751989
3914,2385804
3914,5341295
3918,123349660
3918,4671277
3918,38723
3937,751989
3937,179057
3937,523
3947,41176
3947,11755880
3947,811979
3947,989946
3950,3947
3957,124250988
3957,7930989
3962,16338
3962,1820120
3962,16917685
3962,581105
3966,811909
3966,2858615
3975,442709
3975,3966
4006,60533375
4006,25106976
4006,124608594
4022,355304
4022,30092769
4022,2479431
4130,193139
4202,368442
4213,1751850
4213,751997
4262,11386
4262,12969754
4287,27908772
4287,11870297
4287,27918613
4287,1727434
4290,8187769
4290,1369832
4360,368442
4421,618123
4421,37813
4421,52105
4421,27096220
4421,101998
4508,781132
4508,20749395
4539,295382
4539,783794
4539,43229
4551,12105883
4551,65769686
4567,766366
4572,11451
4572,357279
4618,132241
4618,11483816
4618,10688145
4618,115755288
4785,56656227
4809,41291
4817,811979
4817,391414
4886,1362373
4886,16521
5043,47280
5084,10354598
5084,3055118
5084,11939023
5084,4632675
5084,1497375
5090,25403900
5090,506139
5090,12117
5090,736427
5090,7493597
5098,34876
5098,12479773
5107,35145263
5107,205895
5113,25241
5119,515
5119,1306755
5146,9080204
5151,138341612
5151,12132
5151,210539
5173,729
5275,376
5275,751997
5275,1516537
5283,723127
5283,632350
5283,622460
5283,83437
5283,13292702
5292,13136
5292,6423319
5292,1063801
5292,2217301
5292,18168594
5293,66221
5293,1364527
5293,1048236
5293,193395
5293,37768
5295,112801081
5295,3966
5297,1466064
5314,729283
5314,3777579
5318,1546066
5320,210729
5320,102110916
5320,114982040
5320,1273786
5322,11653
5322,6867168
5322,233003
5339,12492106
5339,175805
5367,349
5369,212434
5369,216048
5369,2238071
5375,2238071
5375,216048
5375,877517
5378,1081491
5386,878123
5386,5367
5386,9340418
5389,13406554
5445,12136
5445,246147
5445,1963588
5445,102186671
5488,3281904
5503,3491904
5528,1047683
5638,580939
5638,87410987
5638,1515493
5638,752870
5737,20529645
5840,135472105
5840,68415976
5840,1471060
5840,10528974
5852,28823
5852,31808206
5856,10282072
5856,161
5856,3300022
5860,161
5861,161
5861,3191702
5864,1007122
5864,244393
5871,368442
5871,244393
5873,608
5873,2148678
5873,30600878
5873,3775883
5875,523
5885,7681417
5887,30892994
5891,105948247
5893,244393
5898,193599
5916,206021
5994,52954
6006,253655
6006,815738
6006,105449313
6097,2647467
6097,19359564
6097,1365365
6097,11090700
6097,61951
6099,2095
6099,10990
6099,1427844
6128,7802
6160,65659335
6180,1182546
6186,7272
6206,273005
6216,12909644
6223,180490
6223,128135
6223,38352698
6227,5875
6229,173424
6235,12909644
6241,1132131
6241,12909644
6243,523
6251,72803622
6256,4835091
6256,1048835
6266,16334295
6293,117207331
6293,1736298
6293,193395
6293,1439598
6293,96792464
6311,8104
6368,104574429
6368,241317
6368,2979024
6368,166142
6388,3467704
6388,747883
6388,47728
6388,205961
6409,210932
6409,83762511
6409,18379985
6418,18380285
6423,210932
6458,6243
6458,1059564
6464,2995427
6465,13221722
6465,41773366
6465,643589
6465,583865
6465,13220204
6465,192611
6465,13220204
6472,5418608
6478,18683432
6481,309078
6492,68189256
6492,3261888
6492,1445518
6584,45818982
6584,7441913
6584,115783621
6584,115783648
6591,13270
6592,30250610
6592,5282923
6592,2332332
6607,57306162
6607,113519195
6623,10816
6635,6592
6636,129446352
6636,1632385
6636,339014
6661,579316
6663,111981894
6674,177413
6876,26132862
6876,67472109
6888,13567909
6915,26713767
6999,223557
7012,1022867
7020,193395
7055,4271324
7055,18563354
7055,4802582
7066,871396
7066,58721
7075,294163
7075,101542346
7075,2221906
7081,178801
7087,3968640
7087,83500
7087,483247
7100,420
7100,413
7100,113212772
7108,11016
7150,5333289
7162,420
7163,1914636
7163,4686698
7163,3482410
7167,7260
7167,1190554
7169,12909644
7174,28108
7181,52948
7187,15712714
7188,895526
7188,43229
7191,5257307
7193,420
7193,475023
7205,1402508
7208,2057971
7208,113129019
7211,5962346
7211,17625380
7239,223557
7239,66394244
7252,12909644
7257,49447
7260,1031250
7264,6186
7264,7272
7269,22676587
7270,5589178
7272,389647
7275,96196009
7275,155076
7275,1048835
7275,1896989
7278,155076
7278,7210356
7281,121757905
7281,4202233
7281,11024
7281,905726
7283,19890758
7283,86923152
7283,2571535
7307,1190058
7310,6223
7310,22649
7310,122167123
7363,3355930
7363,112826975
7363,24060765
7364,3355930
7364,112826975
7364,66576455
7364,24060765
7365,28843519
7365,66545292
7365,27062223
7365,112826975
7366,114586269
7368,59099
7368,57814795
7368,1797813
7368,842175
7369,160
7369,215760
7377,25241
7378,7377
7380,7377
7386,22651
7390,97234227
7391,1390
7397,2424752
7397,12774177
7397,47461344
7397,17537576
7430,123619
7430,422649
7430,66560214
7432,16521
7434,11460
7533,11004
7533,17119307
7533,1470762
7544,30126005
7544,6999
7553,65757353
7553,1066689
7559,24334299
7559,2239243
7560,138716859
7560,7566
7561,25257
7561,214609
7566,138716795
7566,25098571
7569,5
7569,1516282
7590,451967
7590,4284762
7695,1054581
7695,56061
7743,699405
7748,1151067
7755,106706188
7755,680655
7755,846882
7755,6671777
7755,820655
7787,200325
7791,7787
7794,7787
7798,7794
7802,736427
7802,2251745
7845,5891
7849,11924610
7850,45961
7856,5367
7857,13226383
7863,557685
7863,2024731
7867,131850943
7867,9418
7867,113129019
7867,11190
7870,11924610
7876,11924610
7881,27043941
7881,112826975
7885,11924610
7886,24060765
7886,712378
7886,112826975
7889,2249149
7889,51938570
7889,2431196
7889,115920686
7891,137578244
7892,40050
7892,29053744
7895,112826975
7895,188193
7921,1813494
7922,944537
7922,8434
7925,25257
7935,123349687
7935,3574985
7937,52139
7937,1293220
7937,106865236
7939,16332653
7944,8065
7944,136927433
7944,123349687
7944,108156638
7946,11438
7946,10683158
7946,79529
7946,12037703
7954,11924610
7958,628523
7958,151885
7961,11924610
7965,11924610
7980,11924610
7982,386724
7982,34467
7982,1048236
7982,193395
7987,864114
7987,184824
7987,3966
7991,336
7994,11924610
7997,11924610
7998,11924610
8000,11924610
8004,2354362
8004,105449313
8004,1146001
8004,7339568
8008,107287417
8008,7991
8010,376799
8010,66498943
8010,62059481
8010,2122933
8019,11924610
8028,1114461
8028,6949149
8028,11458821
8028,3658341
8028,4686758
8028,3375722
8028,15773347
8028,11879837
8032,63860191
8032,11924610
8036,11924610
8039,11924610
8047,426799
8047,8054
8054,66560214
8054,424689
8054,3084232
8054,422649
8060,1267849
8063,2451477
8065,1322005
8065,122355536
8065,3433179
8065,3839081
8065,86923152
8068,30017
8068,8065
8070,582695
8070,8065
8072,8502
8072,29025902
8074,11663
8076,15654425
8076,55417699
8076,1836700
8076,212920
8076,68
8076,27666158
8081,1192097
8081,16332653
8081,732722
8081,6823473
8081,1277161
8082,11924610
8091,367293
8091,8162
8092,79602
8092,1277161
8094,16332653
8096,91828006
8096,23622
8102,6499736
8102,207101
8104,47495022
8104,11432
8109,11924610
8124,66515782
8124,112826975
8124,2069006
8134,34749
8142,11105360
8142,1368
8142,65240001
8142,47574
8148,8187769
8148,55639
8157,587735
8157,27895381
8157,811979
8161,748289
8161,11596025
8162,34749
8162,80083
8171,2944660
8171,48937186
8188,11953984
8188,6671777
8188,202064
8192,2001982
8201,8192
8201,3953107
8229,2182919
8242,735
8242,16889133
8242,7725634
8261,116518880
8261,676
8261,3328821
8261,87482979
8274,1004
8317,1001378
8317,932586
8317,15088947
8317,381243
8317,11398090
8338,55774273
8347,2152657
8355,192096
8362,116691808
8362,178659
8362,93184
8362,3305213
8366,24034552
8366,20920559
8366,386724
8371,57050725
8386,409205
8386,11173
8392,178059
8392,12136
8394,608
8394,8514257
8396,608
8396,22269530
8396,23807917
8398,484744
8410,7675376
8410,608
8424,6593690
8424,216320
8425,10372568
8425,16334295
8432,8425
8434,6423395
8434,7406919
8434,2305441
8436,16334295
8436,131085629
8436,24229398
8436,1313923
8436,178706
8441,9584157
8441,84048850
8445,736922
8452,7313594
8452,663296
8452,96649463
8452,55214844
8454,1931388
8454,149086
8454,186361
8454,855919
8454,1763090
8454,3966286
8458,367293
8458,780687
8461,169207
8461,179742
8461,5431887
8461,859781
8461,83267
8463,705818
8463,859884
8465,5153967
8465,198
8473,17149090
8486,2647467
8486,1365365
8486,37756327
8486,742487
8492,122973887
8492,27043893
8492,110908304
8492,2647467
8492,27043630
8492,11550473
8495,2095
8495,25403900
8495,1058795
8495,12334861
8495,112826975
