page_id,name
52769655,1897 Darwin cyclone
63716103,1973 Flores cyclone
53838014,Cyclone Ada
29423664,Cyclone Aivu
30679201,Cyclone Alby
79306165,Cyclone Alfred
53330484,Cyclone Althea
70119876,Cyclone Carlos
41499860,Cyclone Christine
68196177,Cyclone Damien
53594872,Cyclone Debbie
36752265,Cyclone Fran
73042838,Cyclone Freddy
72995192,Cyclone Gabrielle
10086231,Cyclone George
25606529,Cyclone Gwenda
21853173,Cyclone Hamish
63544281,Cyclone Harold
73500185,Cyclone Ilsa
15038131,Cyclone Inigo
42409388,Cyclone Ita
75514052,Cyclone Jasper
36325677,Cyclone Joan
38085789,Cyclone John
40977161,Cyclone Joy
18886034,Cyclone Justin
28478698,Cyclone Katrina
75920007,Cyclone Kirrily
4440812,Cyclone Larry
25449899,Cyclone Laurence
1382280,Cyclone Mahina
45442296,Cyclone Marcia
56892635,Cyclone Marcus
21510285,Cyclone Monica
66986484,Cyclone Niran
25967789,Cyclone Olivia
23892976,Cyclone Orson
38341583,Cyclone Oswald
5866713,Cyclone Rosita
38643923,Cyclone Rusty
67293316,Cyclone Seroja
5589427,Cyclone Steve
53203222,Cyclone Tessi
3763005,Cyclone Thelma
376221,Cyclone Tracy
23675821,Cyclone Ului
6029863,Cyclone Vance
60805452,Cyclone Veronica
3016420,Cyclone Wanda
41973124,Cyclone Winifred
30700270,Cyclone Yasi
79205161,Cyclone Zelia
