page_name,date,views
Climate change,2019-09-20,469
Climate change,2019-09-24,844
Climate change,2019-09-25,593
Climate change,2019-09-26,580
Climate change,2019-10-30,468
Climate change,2019-10-31,626
Climate change,2019-11-06,584
Climate change,2019-11-10,607
Climate change,2019-11-11,729
Climate change,2019-11-12,722
Climate change,2019-11-13,652
Climate change,2019-11-14,628
Climate change,2019-11-15,474
Climate change,2019-11-20,457
Climate change,2019-11-27,3517
Climate change,2020-01-03,871
Climate change,2020-01-04,990
Climate change,2020-01-05,993
Climate change,2020-01-06,993
Climate change,2020-01-07,858
Climate change,2020-01-08,540
Climate change,2020-01-10,547
Climate change,2020-01-11,482
Climate change,2020-01-12,494
Climate change,2020-01-16,478
Climate change,2020-02-04,755
Climate change,2021-07-08,473
Climate change,2021-07-09,468
Climate change,2021-07-12,507
Climate change,2021-07-14,454
Climate change,2021-07-18,471
Climate change,2021-07-20,474
Climate change,2021-07-21,461
Climate change,2021-07-22,561
Climate change,2021-07-25,483
Climate change,2021-07-26,493
Climate change,2021-07-27,513
Climate change,2021-07-28,519
Climate change,2021-07-29,454
Climate change,2021-07-30,496
Climate change,2021-08-01,498
Climate change,2021-08-02,528
Climate change,2021-08-03,539
Climate change,2021-08-05,523
Climate change,2021-08-06,521
Climate change,2021-08-08,741
Climate change,2021-08-09,891
Climate change,2021-08-10,1140
Climate change,2021-08-11,989
Climate change,2021-08-12,824
Climate change,2021-08-13,607
Climate change,2021-08-14,616
Climate change,2021-08-15,718
Climate change,2021-08-16,913
Climate change,2021-08-17,709
Climate change,2021-08-18,680
Climate change,2021-08-19,581
Climate change,2021-08-20,595
Climate change,2021-08-21,565
Climate change,2021-08-22,533
Climate change,2021-08-23,829
Climate change,2021-08-24,655
Climate change,2021-08-25,571
Climate change,2021-08-26,625
Climate change,2021-08-27,611
Climate change,2021-08-29,600
Climate change,2021-08-30,635
Climate change,2021-08-31,646
Climate change,2021-09-01,532
Climate change,2021-09-02,624
Climate change,2021-09-03,578
Climate change,2021-09-06,587
Climate change,2021-09-07,581
Climate change,2021-09-08,643
Climate change,2021-09-09,607
Climate change,2021-09-13,495
Climate change,2021-09-14,551
Climate change,2021-09-15,507
Climate change,2021-09-16,471
